iter	Logloss
0	0.5637485523
1	0.4668036909
2	0.3862836658
3	0.3235290225
4	0.2798577022
5	0.2390345112
6	0.2060874064
7	0.1795295077
8	0.1603408918
9	0.1429743319
10	0.1283122375
11	0.1179019201
12	0.1084860367
13	0.1002369152
14	0.09268726808
15	0.08606812869
16	0.08069580485
17	0.07499579774
18	0.07012916137
19	0.06472695065
20	0.06160792008
21	0.05852817897
22	0.05414564487
23	0.05113496436
24	0.04806138656
25	0.04556548197
26	0.0432881573
27	0.04125765374
28	0.03924664044
29	0.03777960024
30	0.03592449015
31	0.03411124376
32	0.03196462292
33	0.03039338497
34	0.02875046455
35	0.02749379122
36	0.02664250214
37	0.02532212525
38	0.02444702223
39	0.0234618857
40	0.02267315387
41	0.02188306152
42	0.0210671614
43	0.02036068648
44	0.01980432378
45	0.01908804209
46	0.01848824526
47	0.01801385466
48	0.01757068362
49	0.0168031325
50	0.01638288149
51	0.01599320823
52	0.01560923897
53	0.0152363703
54	0.01484742368
55	0.01433054162
56	0.01397273623
57	0.0136693666
58	0.01330319973
59	0.01295467831
60	0.01270316691
61	0.01241499276
62	0.0120513286
63	0.01176017089
64	0.01150967364
65	0.01117192627
66	0.01094944177
67	0.01075355713
68	0.01053341198
69	0.01026570775
70	0.01009562001
71	0.009922461385
72	0.009772397758
73	0.009619481438
74	0.009371148032
75	0.009228120599
76	0.009049214522
77	0.008842235179
78	0.008674000816
79	0.008497965526
80	0.008351847278
81	0.008251348222
82	0.008060149369
83	0.007917307935
84	0.007741969102
85	0.007613410003
86	0.007498918411
87	0.007382742778
88	0.007261047288
89	0.007163202982
90	0.00703485719
91	0.006944264318
92	0.006846999917
93	0.006708225704
94	0.006623580093
95	0.006505239154
96	0.006433410134
97	0.006349452939
98	0.006263743352
99	0.006182278068
