Nombre;Valoración
Batman Beyond;7.2
Batman Beyond;7.2
Batman: The Animated Series;7.2
The Batman;7.2
The Batman;7.2
The Batman;7.2
The Batman;7.2
The Batman;7.2
The Zeta Project;7.2
The Zeta Project;7.2
The Batman;7.2
Gotham Girls;7.2
Gotham Girls;7.2
Batman: Black and White;7.2
Gotham Girls;7.2
Supergirl;7.2
Supergirl;7.2
Supergirl;7.2
Supergirl;7.2
Supergirl;7.2
Supergirl;7.2
Lobo;7.2
Supergirl;7.2
Supergirl;7.2
Supergirl;7.2
Supergirl;7.2
The Flash;7.2
Supergirl;7.2
Supergirl;7.2
Iron Man 3;7.1
Mutant X;7.1
Mutant X;7.1
Batman vs. Robin;7.1
Tales of the Black Freighter;7.1
Green Lantern: First Flight;7.1
Teen Titans: Trouble in Tokyo;7.1
The Zeta Project;7.1
Superman;7.1
Galaxian;7.1
Saving Gotham City;7.1
Genesis of the Bat;7.1
Wonder Woman: A Subversive Dream;7.1
Batman: The Animated Series;7.1
Batman: The Animated Series;7.1
The Batman;7.1
The Batman;7.1
The New Batman Adventures;7.1
Justice League Unlimited;7.1
Family Guy;7.1
Batman: Black and White;7.1
Batman: Black and White;7.1
Gotham Girls;7.1
Gotham Girls;7.1
Gotham Girls;7.1
Gotham Girls;7.1
Supergirl;7.1
Lobo;7.1
Supergirl;7.1
Thor;7
Iron Man 2;7
Ant-Man and the Wasp;7
Ralph Breaks the Internet;7
Hulk Vs.;7
Stuntwomen: The Untold Hollywood Story;7
Spider-Man: The Ultimate Villain Showdown;7
Man of Steel;7
Shazam!;7
Constantine;7
Batman Returns;7
Justice League vs. Teen Titans;7
Superman: Doomsday;7
The Science of Superman;7
First Flight: The Fleischer Superman Series;7
Shaping Mind and Body;7
The Complete Robin Storyboard Sequence;7
The Making of 'Superman II';7
Batman Heroes: Vicki Vale;7
Batman: The Animated Series;7
The Batman;7
The New Batman Adventures;7
The New Batman Adventures;7
Smallville;7
The Zeta Project;7
Batman: Black and White;7
Batman: Black and White;7
Batman: Black and White;7
Batman: Black and White;7
Heroes;7
Gotham Girls;7
Gotham Girls;7
Gotham Girls;7
Gotham Girls;7
Gotham Girls;7
Powerless;7
Supergirl;7
Supergirl;7
Black Lightning;7
Supergirl;7
