Nombre;Valoración
Justice League Unlimited;8.6
Smallville;8.6
Smallville;8.6
Smallville;8.6
Smallville;8.6
Smallville;8.6
Smallville;8.6
Smallville;8.6
Smallville;8.6
Smallville;8.6
Smallville;8.6
Smallville;8.6
Smallville;8.6
Smallville;8.6
Smallville;8.6
Krypto the Superdog;8.6
Krypto the Superdog;8.6
Krypto the Superdog;8.6
Smallville;8.6
Krypto the Superdog;8.6
Krypto the Superdog;8.6
Krypto the Superdog;8.6
Krypto the Superdog;8.6
Krypto the Superdog;8.6
Smallville;8.6
Smallville;8.6
Smallville;8.6
Smallville;8.6
Smallville;8.6
Young Justice;8.6
Young Justice;8.6
Young Justice;8.6
Young Justice;8.6
Arrow;8.6
Young Justice;8.6
Young Justice;8.6
Constantine;8.6
Constantine;8.6
Gotham;8.6
Gotham;8.6
Gotham;8.6
Supergirl;8.6
Gotham;8.6
Gotham;8.6
Lucifer;8.6
Lucifer;8.6
Lucifer;8.6
Gotham;8.6
Gotham;8.6
DC's Legends of Tomorrow;8.6
Gotham;8.6
Doom Patrol;8.6
Doom Patrol;8.6
Doom Patrol;8.6
Doom Patrol;8.6
Supergirl;8.6
WandaVision;8.5
Marvel Studios: Assembled;8.5
Agents of S.H.I.E.L.D.;8.5
The Punisher;8.5
Agents of S.H.I.E.L.D.;8.5
Agents of S.H.I.E.L.D.;8.5
Agents of S.H.I.E.L.D.;8.5
Agents of S.H.I.E.L.D.;8.5
Agents of S.H.I.E.L.D.;8.5
Agents of S.H.I.E.L.D.;8.5
Agents of S.H.I.E.L.D.;8.5
Justice League;8.5
The New Batman Adventures;8.5
Batman Beyond;8.5
Batman Beyond;8.5
Batman: The Animated Series;8.5
Batman: The Animated Series;8.5
Batman: The Animated Series;8.5
The New Batman Adventures;8.5
The New Batman Adventures;8.5
Justice League;8.5
Justice League Unlimited;8.5
Justice League;8.5
Justice League Unlimited;8.5
Smallville;8.5
The Batman;8.5
The Batman;8.5
Smallville;8.5
Smallville;8.5
Smallville;8.5
Smallville;8.5
Smallville;8.5
Smallville;8.5
Smallville;8.5
Smallville;8.5
Human Target;8.5
Human Target;8.5
Young Justice;8.5
Human Target;8.5
Young Justice;8.5
Arrow;8.5
Young Justice;8.5
Young Justice;8.5
Constantine;8.5
Gotham;8.5
Gotham;8.5
Gotham;8.5
Gotham;8.5
Lucifer;8.5
Lucifer;8.5
Gotham;8.5
Lucifer;8.5
Gotham;8.5
Young Justice;8.5
Gotham;8.5
Supergirl;8.5
Gotham;8.5
Gotham;8.5
Gotham;8.5
Doom Patrol;8.5
Watchmen;8.5
DC's Legends of Tomorrow;8.5
Avengers: Endgame;8.4
Avengers: Infinity War;8.4
WandaVision;8.4
Luke Cage;8.4
Luke Cage;8.4
Agents of S.H.I.E.L.D.;8.4
Agents of S.H.I.E.L.D.;8.4
The Punisher;8.4
Agents of S.H.I.E.L.D.;8.4
Agents of S.H.I.E.L.D.;8.4
Agents of S.H.I.E.L.D.;8.4
Agents of S.H.I.E.L.D.;8.4
Agents of S.H.I.E.L.D.;8.4
Agents of S.H.I.E.L.D.;8.4
Agents of S.H.I.E.L.D.;8.4
Agents of S.H.I.E.L.D.;8.4
Agents of S.H.I.E.L.D.;8.4
Agents of S.H.I.E.L.D.;8.4
Joker;8.4
The Dark Knight Rises;8.4
Batman Beyond;8.4
Batman Beyond;8.4
Batman Beyond;8.4
Batman: The Animated Series;8.4
Batman: The Animated Series;8.4
Batman: The Animated Series;8.4
Batman: The Animated Series;8.4
Batman: The Animated Series;8.4
Batman: The Animated Series;8.4
The Batman;8.4
Justice League Unlimited;8.4
Justice League;8.4
Justice League;8.4
Justice League Unlimited;8.4
Justice League;8.4
Justice League;8.4
Justice League;8.4
Smallville;8.4
Smallville;8.4
Smallville;8.4
Teen Titans;8.4
Teen Titans;8.4
Krypto the Superdog;8.4
Smallville;8.4
The Batman;8.4
Krypto the Superdog;8.4
Krypto the Superdog;8.4
Krypto the Superdog;8.4
Smallville;8.4
Batman: Black and White;8.4
Batman: Black and White;8.4
Smallville;8.4
Human Target;8.4
Smallville;8.4
